node,trace,policy,cache_pct,size_mb,hp,threads,rep,miss,tp,requests,footprint_mb,n_objects
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lru,10,1580,27,1,1,0.0912,1.09,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lru,10,1580,27,1,2,0.0912,1.11,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lru,10,1580,27,1,3,0.0912,1.11,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lruforgive,10,1580,27,1,1,0.0908,0.47,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lruforgive,10,1580,27,1,2,0.0908,0.48,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lruforgive,10,1580,27,1,3,0.0908,0.47,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifo,10,1580,27,1,1,NA,NA,NA,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifo,10,1580,27,1,2,NA,NA,NA,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifo,10,1580,27,1,3,NA,NA,NA,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifoforgive,10,1580,27,1,1,NA,NA,NA,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifoforgive,10,1580,27,1,2,0.1113,0.45,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifoforgive,10,1580,27,1,3,0.1113,0.45,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lru,0.1,16,20,1,1,0.2900,2.57,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lru,0.1,16,20,1,2,0.2900,2.51,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lru,0.1,16,20,1,3,0.2900,2.52,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lruforgive,0.1,16,20,1,1,0.2810,0.82,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lruforgive,0.1,16,20,1,2,0.2810,0.83,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,lruforgive,0.1,16,20,1,3,0.2810,0.83,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifo,0.1,16,20,1,1,0.2552,2.78,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifo,0.1,16,20,1,2,0.2552,2.73,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifo,0.1,16,20,1,3,0.2552,2.73,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifoforgive,0.1,16,20,1,1,0.2557,0.90,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifoforgive,0.1,16,20,1,2,0.2557,0.91,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_295,s3fifoforgive,0.1,16,20,1,3,0.2557,0.93,44708182,15800.0128,1671740
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lru,10,2489,27,1,1,0.5236,0.76,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lru,10,2489,27,1,2,0.5236,0.75,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lru,10,2489,27,1,3,0.5236,0.74,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lruforgive,10,2489,27,1,1,0.5227,0.54,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lruforgive,10,2489,27,1,2,0.5227,0.54,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lruforgive,10,2489,27,1,3,0.5227,0.50,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifo,10,2489,27,1,1,0.5177,0.97,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifo,10,2489,27,1,2,0.5177,0.96,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifo,10,2489,27,1,3,0.5177,0.96,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifoforgive,10,2489,27,1,1,0,0.70,15567890,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifoforgive,10,2489,27,1,2,0.5175,0.66,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifoforgive,10,2489,27,1,3,0.5175,0.66,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lru,0.1,25,21,1,1,0.6995,1.76,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lru,0.1,25,21,1,2,0.6995,1.78,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lru,0.1,25,21,1,3,0.6995,1.78,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lruforgive,0.1,25,21,1,1,0.6980,1.07,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lruforgive,0.1,25,21,1,2,0.6980,1.07,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,lruforgive,0.1,25,21,1,3,0.6980,1.07,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifo,0.1,25,21,1,1,0.6913,1.94,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifo,0.1,25,21,1,2,0.6913,1.92,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifo,0.1,25,21,1,3,0.6913,1.95,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifoforgive,0.1,25,21,1,1,0.6911,1.22,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifoforgive,0.1,25,21,1,2,0.6911,1.19,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_3,s3fifoforgive,0.1,25,21,1,3,0.6911,1.21,23965493,24892.1088,3159466
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lru,10,1448,27,1,1,0.1010,1.08,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lru,10,1448,27,1,2,0.1010,1.06,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lru,10,1448,27,1,3,0.1010,0.99,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lruforgive,10,1448,27,1,1,0.1005,0.43,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lruforgive,10,1448,27,1,2,0.1005,0.42,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lruforgive,10,1448,27,1,3,0.1005,0.42,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifo,10,1448,27,1,1,0.1212,1.01,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifo,10,1448,27,1,2,0.1212,1.02,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifo,10,1448,27,1,3,0.1212,1.01,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifoforgive,10,1448,27,1,1,0.1210,0.46,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifoforgive,10,1448,27,1,2,0.1211,0.45,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifoforgive,10,1448,27,1,3,0.1211,0.45,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lru,0.1,14,20,1,1,0.2689,3.10,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lru,0.1,14,20,1,2,0.2689,3.02,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lru,0.1,14,20,1,3,0.2689,3.05,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lruforgive,0.1,14,20,1,1,0.2694,0.99,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lruforgive,0.1,14,20,1,2,0.2694,0.96,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,lruforgive,0.1,14,20,1,3,0.2694,0.96,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifo,0.1,14,20,1,1,0.2597,3.26,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifo,0.1,14,20,1,2,0.2597,3.27,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifo,0.1,14,20,1,3,0.2597,3.32,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifoforgive,0.1,14,20,1,1,0.2596,1.16,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifoforgive,0.1,14,20,1,2,0.2596,1.17,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_30,s3fifoforgive,0.1,14,20,1,3,0.2596,1.17,39965299,14482.2272,1546408
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_303,lru,10,37826,27,1,1,0.7528,0.14,16280097,378256.6912,9890244
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_303,lru,10,37826,27,1,2,0.7528,0.14,16280097,378256.6912,9890244
node4.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,alibabaBlock_303,lru,10,37826,27,1,3,0.7528,0.14,16280097,378256.6912,9890244
