nohup: ignoring input
##### PASS 1: BASELINES #####
=== lru ===
[have] s3fifo cluster10.oracleGeneral 64MB
[have] s3fifo cluster10.oracleGeneral 128MB
[have] s3fifo cluster10.oracleGeneral 256MB
[have] s3fifo cluster10.oracleGeneral 512MB
[have] s3fifo cluster10.oracleGeneral 1024MB
[have] s3fifo cluster10.oracleGeneral 2048MB
[have] s3fifo cluster10.oracleGeneral 4096MB
[have] s3fifo cluster10.oracleGeneral 8192MB
[have] s3fifo cluster50.oracleGeneral 4MB
[have] s3fifo cluster50.oracleGeneral 8MB
[have] s3fifo cluster50.oracleGeneral 16MB
[have] s3fifo cluster50.oracleGeneral 32MB
[have] s3fifo cluster50.oracleGeneral 64MB
[have] s3fifo cluster50.oracleGeneral 128MB
[have] s3fifo cluster50.oracleGeneral 256MB
[have] s3fifo cluster50.oracleGeneral 512MB
[have] s3fifo cluster50.oracleGeneral 1024MB
[have] s3fifo cluster50.oracleGeneral 2048MB
[have] s3fifo cluster50.oracleGeneral 4096MB
[have] s3fifo cluster50.oracleGeneral 8192MB
[have] s3fifo cluster53.oracleGeneral 4MB
[have] s3fifo cluster53.oracleGeneral 8MB
[have] s3fifo cluster53.oracleGeneral 16MB
[have] s3fifo cluster53.oracleGeneral 32MB
[have] s3fifo cluster53.oracleGeneral 64MB
[have] s3fifo cluster53.oracleGeneral 128MB
[have] s3fifo cluster53.oracleGeneral 256MB
[have] s3fifo cluster53.oracleGeneral 512MB
[have] s3fifo cluster53.oracleGeneral 1024MB
[have] s3fifo cluster53.oracleGeneral 2048MB
[have] s3fifo cluster53.oracleGeneral 4096MB
[have] s3fifo cluster53.oracleGeneral 8192MB
[have] s3fifo cluster45.oracleGeneral 4MB
[have] s3fifo cluster45.oracleGeneral 8MB
[have] s3fifo cluster45.oracleGeneral 16MB
[have] s3fifo cluster45.oracleGeneral 32MB
[have] s3fifo cluster45.oracleGeneral 64MB
[have] s3fifo cluster45.oracleGeneral 128MB
[have] s3fifo cluster45.oracleGeneral 256MB
[have] s3fifo cluster45.oracleGeneral 512MB
[have] s3fifo cluster45.oracleGeneral 1024MB
[have] s3fifo cluster45.oracleGeneral 2048MB
[have] s3fifo cluster45.oracleGeneral 4096MB
[have] s3fifo cluster45.oracleGeneral 8192MB
[have] s3fifo msr_proj_0.oracleGeneral 4MB
[have] s3fifo msr_proj_0.oracleGeneral 8MB
[have] s3fifo msr_proj_0.oracleGeneral 16MB
[have] s3fifo msr_proj_0.oracleGeneral 32MB
[have] s3fifo msr_proj_0.oracleGeneral 64MB
[have] s3fifo msr_proj_0.oracleGeneral 128MB
[have] s3fifo msr_proj_0.oracleGeneral 256MB
[have] s3fifo msr_proj_0.oracleGeneral 512MB
[have] s3fifo msr_proj_0.oracleGeneral 1024MB
[have] s3fifo msr_proj_0.oracleGeneral 2048MB
[have] s3fifo msr_proj_0.oracleGeneral 4096MB
[have] s3fifo msr_proj_0.oracleGeneral 8192MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 4MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 8MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 16MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 32MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 64MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 128MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 256MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 512MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 1024MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 2048MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 4096MB
[have] s3fifo 202206_kv_traces_all.csv.oracleGeneral 8192MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 4MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 8MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 16MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 32MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 64MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 128MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 256MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 512MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 1024MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 2048MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 4096MB
[have] s3fifo 202210_kv_traces_all_sort.csv.oracleGeneral 8192MB
[have] s3fifo cache-t-00.oracleGeneral 4MB
[have] s3fifo cache-t-00.oracleGeneral 8MB
[have] s3fifo cache-t-00.oracleGeneral 16MB
[have] s3fifo cache-t-00.oracleGeneral 32MB
[have] s3fifo cache-t-00.oracleGeneral 64MB
[have] s3fifo cache-t-00.oracleGeneral 128MB
[have] s3fifo cache-t-00.oracleGeneral 256MB
[have] s3fifo cache-t-00.oracleGeneral 512MB
