nohup: ignoring input
##### PASS 1: BASELINES (lru, s3fifo) #####
=== lru ===
[skip missing] cluster26.oracleGeneral
[have] s3fifo msr_hm_0.oracleGeneral 512MB
[have] s3fifo msr_hm_0.oracleGeneral 1024MB
[have] s3fifo msr_hm_0.oracleGeneral 2048MB
[have] s3fifo msr_hm_0.oracleGeneral 4096MB
[have] s3fifo msr_hm_0.oracleGeneral 8192MB
[have] s3fifo msr_prn_0.oracleGeneral 8MB
[have] s3fifo msr_prn_0.oracleGeneral 16MB
[have] s3fifo msr_prn_0.oracleGeneral 32MB
[have] s3fifo msr_prn_0.oracleGeneral 64MB
[have] s3fifo msr_prn_0.oracleGeneral 128MB
[have] s3fifo msr_prn_0.oracleGeneral 256MB
[have] s3fifo msr_prn_0.oracleGeneral 512MB
[have] s3fifo msr_prn_0.oracleGeneral 1024MB
[have] s3fifo msr_prn_0.oracleGeneral 2048MB
[have] s3fifo msr_prn_0.oracleGeneral 4096MB
[have] s3fifo msr_prn_0.oracleGeneral 8192MB
[have] s3fifo msr_prn_1.oracleGeneral 8MB
[have] s3fifo msr_prn_1.oracleGeneral 16MB
[have] s3fifo msr_prn_1.oracleGeneral 32MB
[have] s3fifo msr_prn_1.oracleGeneral 64MB
[have] s3fifo msr_prn_1.oracleGeneral 128MB
[have] s3fifo msr_prn_1.oracleGeneral 256MB
[have] s3fifo msr_prn_1.oracleGeneral 512MB
[have] s3fifo msr_prn_1.oracleGeneral 1024MB
[have] s3fifo msr_prn_1.oracleGeneral 2048MB
[have] s3fifo msr_prn_1.oracleGeneral 4096MB
[have] s3fifo msr_prn_1.oracleGeneral 8192MB
[have] s3fifo msr_usr_1.oracleGeneral 8MB
[have] s3fifo msr_usr_1.oracleGeneral 16MB
[have] s3fifo msr_usr_1.oracleGeneral 32MB
[have] s3fifo msr_usr_1.oracleGeneral 64MB
[have] s3fifo msr_usr_1.oracleGeneral 128MB
[have] s3fifo msr_usr_1.oracleGeneral 256MB
[have] s3fifo msr_usr_1.oracleGeneral 512MB
[have] s3fifo msr_usr_1.oracleGeneral 1024MB
[have] s3fifo msr_usr_1.oracleGeneral 2048MB
[have] s3fifo msr_usr_1.oracleGeneral 4096MB
[have] s3fifo msr_usr_1.oracleGeneral 8192MB
[have] s3fifo msr_usr_2.oracleGeneral 8MB
[have] s3fifo msr_usr_2.oracleGeneral 16MB
[have] s3fifo msr_usr_2.oracleGeneral 32MB
[have] s3fifo msr_usr_2.oracleGeneral 64MB
[have] s3fifo msr_usr_2.oracleGeneral 128MB
[have] s3fifo msr_usr_2.oracleGeneral 256MB
[have] s3fifo msr_usr_2.oracleGeneral 512MB
[have] s3fifo msr_usr_2.oracleGeneral 1024MB
[have] s3fifo msr_usr_2.oracleGeneral 2048MB
[have] s3fifo msr_usr_2.oracleGeneral 4096MB
