trace,algo,cache_mb,hashpower,miss_ratio
msr_prxy_1.oracleGeneral,lruforgive,512,25,0.0030
msr_prxy_1.oracleGeneral,lruforgive,1024,26,0.0028
msr_src1_0.oracleGeneral,lruforgive,8,19,0.9927
msr_src1_0.oracleGeneral,lruforgive,16,20,0.9926
msr_src1_0.oracleGeneral,lruforgive,32,21,0.9923
msr_src1_0.oracleGeneral,lruforgive,64,22,0.9898
msr_src1_0.oracleGeneral,lruforgive,128,23,0.9713
msr_src1_0.oracleGeneral,lruforgive,256,24,0.9592
msr_src1_0.oracleGeneral,lruforgive,512,25,0.9579
msr_src1_0.oracleGeneral,lruforgive,1024,26,0.9573
msr_src1_1.oracleGeneral,lruforgive,8,19,0.9996
msr_src1_1.oracleGeneral,lruforgive,16,20,0.9837
msr_src1_1.oracleGeneral,lruforgive,32,21,0.9821
msr_src1_1.oracleGeneral,lruforgive,64,22,0.9806
msr_src1_1.oracleGeneral,lruforgive,128,23,0.9720
msr_src1_1.oracleGeneral,lruforgive,256,24,0.9648
msr_src1_1.oracleGeneral,lruforgive,512,25,0.9643
msr_src1_1.oracleGeneral,lruforgive,1024,26,0.9444
msr_hm_0.oracleGeneral,lruforgive,8,19,0.8576
msr_hm_0.oracleGeneral,lruforgive,16,20,0.5973
msr_hm_0.oracleGeneral,lruforgive,32,21,0.4704
msr_hm_0.oracleGeneral,lruforgive,64,22,0.4269
msr_hm_0.oracleGeneral,lruforgive,128,23,0.4193
msr_hm_0.oracleGeneral,lruforgive,256,24,0.3475
msr_hm_0.oracleGeneral,lruforgive,512,25,0.3164
msr_hm_0.oracleGeneral,lruforgive,1024,26,0.2680
msr_prn_0.oracleGeneral,lruforgive,8,19,0.7667
msr_prn_0.oracleGeneral,lruforgive,16,20,0.5013
msr_prn_0.oracleGeneral,lruforgive,32,21,0.4110
msr_prn_0.oracleGeneral,lruforgive,64,22,0.3400
msr_prn_0.oracleGeneral,lruforgive,128,23,0.3310
msr_prn_0.oracleGeneral,lruforgive,256,24,0.2921
msr_prn_0.oracleGeneral,lruforgive,512,25,0.2734
msr_prn_0.oracleGeneral,lruforgive,1024,26,0.2581
msr_prn_1.oracleGeneral,lruforgive,8,19,0.9691
msr_prn_1.oracleGeneral,lruforgive,16,20,0.8386
msr_prn_1.oracleGeneral,lruforgive,32,21,0.8134
msr_prn_1.oracleGeneral,lruforgive,64,22,0.8055
msr_prn_1.oracleGeneral,lruforgive,128,23,0.8037
msr_prn_1.oracleGeneral,lruforgive,256,24,0.7338
msr_prn_1.oracleGeneral,lruforgive,512,25,0.6702
msr_prn_1.oracleGeneral,lruforgive,1024,26,0.6121
msr_usr_1.oracleGeneral,lruforgive,8,19,0.9719
msr_usr_1.oracleGeneral,lruforgive,16,20,0.9702
msr_usr_1.oracleGeneral,lruforgive,32,21,0.9681
msr_usr_1.oracleGeneral,lruforgive,64,22,0.9653
msr_usr_1.oracleGeneral,lruforgive,128,23,0.9592
msr_usr_1.oracleGeneral,lruforgive,256,24,0.9182
msr_usr_1.oracleGeneral,lruforgive,512,25,0.8989
msr_usr_1.oracleGeneral,lruforgive,1024,26,0.8290
msr_usr_2.oracleGeneral,lruforgive,8,19,0.9230
msr_usr_2.oracleGeneral,lruforgive,16,20,0.9160
msr_usr_2.oracleGeneral,lruforgive,32,21,0.8983
msr_usr_2.oracleGeneral,lruforgive,64,22,0.8870
msr_usr_2.oracleGeneral,lruforgive,128,23,0.8852
msr_usr_2.oracleGeneral,lruforgive,256,24,0.8538
msr_usr_2.oracleGeneral,lruforgive,512,25,0.8465
msr_usr_2.oracleGeneral,lruforgive,1024,26,0.8444
msr_web_2.oracleGeneral,lruforgive,8,19,0.9963
msr_web_2.oracleGeneral,lruforgive,16,20,0.9961
msr_web_2.oracleGeneral,lruforgive,32,21,0.9957
msr_web_2.oracleGeneral,lruforgive,64,22,0.9954
msr_web_2.oracleGeneral,lruforgive,128,23,0.9953
msr_web_2.oracleGeneral,lruforgive,256,24,0.9953
msr_web_2.oracleGeneral,lruforgive,512,25,0.9951
msr_web_2.oracleGeneral,lruforgive,1024,26,0.9951
2016_LUN0.oracleGeneral,lru,8,19,0.9990
2016_LUN0.oracleGeneral,lru,16,20,0.9921
2016_LUN0.oracleGeneral,lru,32,21,0.9335
2016_LUN0.oracleGeneral,lru,64,22,0.9060
2016_LUN0.oracleGeneral,lru,128,23,0.8723
2016_LUN0.oracleGeneral,lru,256,24,0.8592
2016_LUN0.oracleGeneral,lru,512,25,0.8350
2016_LUN0.oracleGeneral,lru,1024,26,0.8208
2016_LUN0.oracleGeneral,lru,2048,27,
2016_LUN0.oracleGeneral,lru,4096,28,
2016_LUN0.oracleGeneral,lru,8192,29,
2016_LUN0.oracleGeneral,s3fifo,8,19,0.9982
2016_LUN0.oracleGeneral,s3fifo,16,20,0.9847
2016_LUN0.oracleGeneral,s3fifo,32,21,0.8957
2016_LUN0.oracleGeneral,s3fifo,64,22,0.8619
2016_LUN0.oracleGeneral,s3fifo,128,23,
2016_LUN0.oracleGeneral,s3fifo,256,24,0.8118
2016_LUN0.oracleGeneral,s3fifo,512,25,0.7942
2016_LUN0.oracleGeneral,s3fifo,1024,26,0.7838
2016_LUN0.oracleGeneral,s3fifo,2048,27,0.7502
2016_LUN0.oracleGeneral,s3fifo,4096,28,0.7273
2016_LUN0.oracleGeneral,s3fifo,8192,29,
2016_LUN1.oracleGeneral,lru,8,19,0.9796
2016_LUN1.oracleGeneral,lru,16,20,0.9300
2016_LUN1.oracleGeneral,lru,32,21,0.9187
2016_LUN1.oracleGeneral,lru,64,22,0.8882
2016_LUN1.oracleGeneral,lru,128,23,0.8851
2016_LUN1.oracleGeneral,lru,256,24,0.8265
2016_LUN1.oracleGeneral,lru,512,25,0.8149
2016_LUN1.oracleGeneral,lru,1024,26,0.8129
2016_LUN1.oracleGeneral,lru,2048,27,0.7767
2016_LUN1.oracleGeneral,lru,4096,28,
2016_LUN1.oracleGeneral,lru,8192,29,
2016_LUN1.oracleGeneral,s3fifo,8,19,0.9807
2016_LUN1.oracleGeneral,s3fifo,16,20,0.8951
2016_LUN1.oracleGeneral,s3fifo,32,21,0.8805
2016_LUN1.oracleGeneral,s3fifo,64,22,0.8506
2016_LUN1.oracleGeneral,s3fifo,128,23,0.8405
2016_LUN1.oracleGeneral,s3fifo,256,24,
2016_LUN1.oracleGeneral,s3fifo,512,25,
2016_LUN1.oracleGeneral,s3fifo,1024,26,
2016_LUN1.oracleGeneral,s3fifo,2048,27,
2016_LUN1.oracleGeneral,s3fifo,4096,28,
2016_LUN1.oracleGeneral,s3fifo,8192,29,
2016_LUN2.oracleGeneral,lru,8,19,0.9992
2016_LUN2.oracleGeneral,lru,16,20,0.8974
2016_LUN2.oracleGeneral,lru,32,21,0.8806
2016_LUN2.oracleGeneral,lru,64,22,0.8463
2016_LUN2.oracleGeneral,lru,128,23,0.8399
2016_LUN2.oracleGeneral,lru,256,24,
2016_LUN2.oracleGeneral,lru,512,25,
2016_LUN2.oracleGeneral,lru,1024,26,
2016_LUN2.oracleGeneral,lru,2048,27,
2016_LUN2.oracleGeneral,lru,4096,28,
2016_LUN2.oracleGeneral,lru,8192,29,
2016_LUN2.oracleGeneral,s3fifo,8,19,0.9986
2016_LUN2.oracleGeneral,s3fifo,16,20,0.8656
2016_LUN2.oracleGeneral,s3fifo,32,21,0.8481
2016_LUN2.oracleGeneral,s3fifo,64,22,0.8144
2016_LUN2.oracleGeneral,s3fifo,128,23,0.8077
2016_LUN2.oracleGeneral,s3fifo,256,24,
2016_LUN2.oracleGeneral,s3fifo,512,25,
2016_LUN2.oracleGeneral,s3fifo,1024,26,
2016_LUN2.oracleGeneral,s3fifo,2048,27,
2016_LUN2.oracleGeneral,s3fifo,4096,28,
2016_LUN2.oracleGeneral,s3fifo,8192,29,
2016_LUN3.oracleGeneral,lru,8,19,0.9990
2016_LUN3.oracleGeneral,lru,16,20,0.9497
2016_LUN3.oracleGeneral,lru,32,21,0.9232
2016_LUN3.oracleGeneral,lru,64,22,0.9068
2016_LUN3.oracleGeneral,lru,128,23,0.9042
2016_LUN3.oracleGeneral,lru,256,24,
2016_LUN3.oracleGeneral,lru,512,25,
2016_LUN3.oracleGeneral,lru,1024,26,
2016_LUN3.oracleGeneral,lru,2048,27,
2016_LUN3.oracleGeneral,lru,4096,28,
2016_LUN3.oracleGeneral,lru,8192,29,
2016_LUN3.oracleGeneral,s3fifo,8,19,0.9985
2016_LUN3.oracleGeneral,s3fifo,16,20,0.9211
2016_LUN3.oracleGeneral,s3fifo,32,21,0.8951
2016_LUN3.oracleGeneral,s3fifo,64,22,0.8758
2016_LUN3.oracleGeneral,s3fifo,128,23,
2016_LUN3.oracleGeneral,s3fifo,256,24,0.8353
2016_LUN3.oracleGeneral,s3fifo,512,25,0.8193
2016_LUN3.oracleGeneral,s3fifo,1024,26,0.8092
2016_LUN3.oracleGeneral,s3fifo,2048,27,
2016_LUN3.oracleGeneral,s3fifo,4096,28,
2016_LUN3.oracleGeneral,s3fifo,8192,29,
