branch,trace,mode,rate,threads,rep,miss,tp
perthread,msr_proj_0,0,0.5,4,1,0.4075,0.57
perthread,msr_proj_0,0,0.5,4,2,0.4065,0.58
perthread,msr_proj_0,0,0.5,4,3,0.4045,0.59
perthread,msr_proj_0,0,0.5,4,4,0.4035,0.59
perthread,msr_proj_0,0,0.5,4,5,0.4047,0.59
perthread,msr_proj_0,0,0.25,4,1,0.4075,0.59
perthread,msr_proj_0,0,0.25,4,2,0.4058,0.59
perthread,msr_proj_0,0,0.25,4,3,0.4127,0.57
perthread,msr_proj_0,0,0.25,4,4,0.4087,0.60
perthread,msr_proj_0,0,0.25,4,5,0.4079,0.59
perthread,msr_proj_0,0,0.1,4,1,0.4162,0.60
perthread,msr_proj_0,0,0.1,4,2,0.4184,0.60
perthread,msr_proj_0,0,0.1,4,3,0.4185,0.60
perthread,msr_proj_0,0,0.1,4,4,0.4166,0.60
perthread,msr_proj_0,0,0.1,4,5,0.4163,0.60
perthread,msr_proj_0,0,1.0,8,1,0.3944,0.63
perthread,msr_proj_0,0,1.0,8,2,0.3932,0.63
perthread,msr_proj_0,0,1.0,8,3,0.3940,0.64
perthread,msr_proj_0,0,1.0,8,4,0.3928,0.63
perthread,msr_proj_0,0,1.0,8,5,0.3948,0.63
perthread,msr_proj_0,0,0.5,8,1,0.3949,0.69
perthread,msr_proj_0,0,0.5,8,2,0.3946,0.68
perthread,msr_proj_0,0,0.5,8,3,0.3965,0.69
perthread,msr_proj_0,0,0.5,8,4,0.3957,0.68
perthread,msr_proj_0,0,0.5,8,5,0.3932,0.69
perthread,msr_proj_0,0,0.25,8,1,0.3962,0.71
perthread,msr_proj_0,0,0.25,8,2,0.3992,0.71
perthread,msr_proj_0,0,0.25,8,3,0.3966,0.72
perthread,msr_proj_0,0,0.25,8,4,0.4003,0.71
perthread,msr_proj_0,0,0.25,8,5,0.3975,0.71
perthread,msr_proj_0,0,0.1,8,1,0.4046,0.74
perthread,msr_proj_0,0,0.1,8,2,0.4035,0.72
perthread,msr_proj_0,0,0.1,8,3,0.4029,0.74
perthread,msr_proj_0,0,0.1,8,4,0.4041,0.73
perthread,msr_proj_0,0,0.1,8,5,0.4016,0.75
perthread,msr_proj_0,0,1.0,16,1,0.3920,0.65
perthread,msr_proj_0,0,1.0,16,2,0.3910,0.65
perthread,msr_proj_0,0,1.0,16,3,0.3941,0.65
perthread,msr_proj_0,0,1.0,16,4,0.3928,0.66
perthread,msr_proj_0,0,1.0,16,5,0.3918,0.65
perthread,msr_proj_0,0,0.5,16,1,0.3945,0.71
perthread,msr_proj_0,0,0.5,16,2,0.3945,0.71
perthread,msr_proj_0,0,0.5,16,3,0.3929,0.71
perthread,msr_proj_0,0,0.5,16,4,0.3931,0.70
perthread,msr_proj_0,0,0.5,16,5,0.3925,0.70
perthread,msr_proj_0,0,0.25,16,1,0.3984,0.74
perthread,msr_proj_0,0,0.25,16,2,0.3984,0.74
perthread,msr_proj_0,0,0.25,16,3,0.3968,0.75
perthread,msr_proj_0,0,0.25,16,4,0.3988,0.74
perthread,msr_proj_0,0,0.25,16,5,0.3995,0.74
perthread,msr_proj_0,0,0.1,16,1,0.4063,0.78
perthread,msr_proj_0,0,0.1,16,2,0.4085,0.78
perthread,msr_proj_0,0,0.1,16,3,0.4050,0.78
perthread,msr_proj_0,0,0.1,16,4,0.4044,0.77
perthread,msr_proj_0,0,0.1,16,5,0.4082,0.78
perthread,cluster53,0,1.0,1,1,0.2426,0.36
perthread,cluster53,0,1.0,1,2,0.2426,0.36
perthread,cluster53,0,1.0,1,3,0.2426,0.36
perthread,cluster53,0,1.0,1,4,0.2426,0.36
perthread,cluster53,0,1.0,1,5,0.2426,0.36
perthread,cluster53,0,0.5,1,1,0.2413,0.44
perthread,cluster53,0,0.5,1,2,0.2413,0.44
perthread,cluster53,0,0.5,1,3,0.2413,0.43
perthread,cluster53,0,0.5,1,4,0.2413,0.43
perthread,cluster53,0,0.5,1,5,0.2413,0.44
perthread,cluster53,0,0.25,1,1,0.2400,0.50
perthread,cluster53,0,0.25,1,2,0.2400,0.49
perthread,cluster53,0,0.25,1,3,0.2400,0.50
perthread,cluster53,0,0.25,1,4,0.2400,0.51
perthread,cluster53,0,0.25,1,5,0.2400,0.53
perthread,cluster53,0,0.1,1,1,0.2389,0.60
perthread,cluster53,0,0.1,1,2,0.2389,0.57
perthread,cluster53,0,0.1,1,3,0.2389,0.57
perthread,cluster53,0,0.1,1,4,0.2389,0.56
perthread,cluster53,0,0.1,1,5,0.2389,0.56
perthread,cluster53,0,1.0,4,1,0.2611,0.93
perthread,cluster53,0,1.0,4,2,0.2611,0.93
perthread,cluster53,0,1.0,4,3,0.2612,0.93
perthread,cluster53,0,1.0,4,4,0.2612,0.93
perthread,cluster53,0,1.0,4,5,0.2612,0.93
perthread,cluster53,0,0.5,4,1,0.2626,1.12
perthread,cluster53,0,0.5,4,2,0.2625,1.11
perthread,cluster53,0,0.5,4,3,0.2625,1.11
perthread,cluster53,0,0.5,4,4,0.2624,1.11
