mode,sample_rate,rep,miss_ratio,mqps
2,1.0,1,0.7759,0.16
2,1.0,2,0.7762,0.17
2,1.0,3,0.7756,0.17
2,0.5,1,0.7809,0.19
2,0.5,2,0.7807,0.19
2,0.5,3,0.7806,0.19
2,0.25,1,0.7882,0.20
2,0.25,2,0.7880,0.19
2,0.25,3,0.7882,0.18
2,0.1,1,0.8008,0.20
2,0.1,2,0.8007,0.20
2,0.1,3,0.8009,0.20
2,0.05,1,0.8113,0.21
2,0.05,2,0.8111,0.20
2,0.05,3,0.8111,0.21
2,0.01,1,0.8269,0.22
2,0.01,2,0.8271,0.21
2,0.01,3,0.8271,0.23
