dataset,trace,cache_pct,lru,lruforgive,lru_gap_pp,s3fifo,s3fifoforgive,s3_gap_pp
?,tencentBlock_10004,10,0.5342,0.5270,0.720,0.5212,0.5212,0.005
?,tencentBlock_10007,10,0.2375,0.2340,0.350,0.2237,0.2235,0.020
?,tencentBlock_10011,10,0.6276,0.5557,7.190,0.4314,0.4951,-6.370
?,tencentBlock_10021,10,0.2726,0.2704,0.220,0.2646,,
?,tencentBlock_10022,10,0.2085,0.2047,0.380,0.1984,0.1986,-0.020
?,tencentBlock_10029,10,0.6724,0.6716,0.080,0.6208,0.6207,0.010
?,tencentBlock_10031,10,0.1976,0.1976,0.000,0.2030,0.2030,0.000
?,tencentBlock_10039,10,0.5123,0.5111,0.120,0.5002,0.5012,-0.100
?,tencentBlock_10044,10,0.3155,0.3106,0.490,0.3012,0.3012,0.000
?,tencentBlock_10048,10,0.2492,0.2494,-0.020,0.2545,0.2546,-0.005
?,tencentBlock_10053,10,0.2467,0.2239,2.280,0.1969,0.2217,-2.480
?,tencentBlock_10062,10,0.1972,0.1932,0.400,0.1843,0.1844,-0.010
?,tencentBlock_10069,10,0.1176,0.1176,0.000,0.1176,0.1176,0.000
?,tencentBlock_10074,10,0.4740,0.4724,0.160,0.4684,0.4678,0.060
?,tencentBlock_10079,10,0.1362,0.1264,0.980,0.1248,0.1270,-0.220
?,tencentBlock_10086,10,0.3891,0.3869,0.220,0.3534,0.3526,0.080
?,tencentBlock_10095,10,0.1581,0.1561,0.200,0.1473,0.1474,-0.005
?,tencentBlock_10108,10,0.1109,0.1084,0.250,0.1043,0.1038,0.050
?,tencentBlock_10116,10,0.0056,0.0043,0.130,0.0045,0.0044,0.010
?,tencentBlock_10119,10,0.2319,0.2307,0.120,0.2241,0.2241,0.000
?,tencentBlock_10120,10,0.3516,0.3519,-0.030,0.3249,0.3248,0.010
?,tencentBlock_10124,10,0.2047,0.2031,0.160,0.1948,0.1947,0.010
?,tencentBlock_10127,10,0.1613,0.1613,0.000,0.1574,0.1574,0.000
?,tencentBlock_10134,10,0.0605,0.0602,0.030,0.0512,0.0512,0.000
?,tencentBlock_10143,10,0.0774,0.0766,0.080,0.0748,0.0748,0.000
?,tencentBlock_10149,10,0.4022,0.4022,0.000,0.4020,0.4020,0.000
?,tencentBlock_10156,10,0.1720,0.1720,0.000,0.1702,0.1705,-0.030
?,tencentBlock_10176,10,0.2880,0.2838,0.420,0.2497,0.2496,0.010
?,tencentBlock_10184,10,0.2862,0.2865,-0.030,0.2961,0.2961,0.000
?,tencentBlock_10192,10,0.1019,0.1006,0.130,0.0994,0.0994,0.000
?,tencentBlock_10197,10,0.2030,0.1995,0.350,0.1914,0.1914,0.000
?,tencentBlock_10198,10,0.2764,0.2737,0.270,0.2782,0.2781,0.010
?,tencentBlock_10203,10,0.2540,0.2559,-0.190,0.2622,0.2629,-0.070
?,tencentBlock_10208,10,0.1876,0.1883,-0.070,0.2023,0.2023,0.000
?,tencentBlock_10213,10,0.1179,0.1175,0.040,0.1143,0.1142,0.010
?,tencentBlock_10216,10,0.2562,0.2533,0.290,0.2548,0.2547,0.010
?,tencentBlock_10217,10,0.1215,0.1205,0.100,0.1181,0.1181,0.000
?,tencentBlock_10228,10,0.3991,0.3977,0.140,0.4071,0.4070,0.010
?,tencentBlock_10231,10,0.1983,0.1923,0.600,0.1776,0.1810,-0.340
?,tencentBlock_10236,10,0.1072,0.1074,-0.020,0.1049,0.1049,0.000
?,tencentBlock_10244,10,0.4465,0.4212,2.530,0.3665,0.3794,-1.290
?,tencentBlock_10252,10,0.0800,0.0799,0.010,0.0807,0.0806,0.010
?,tencentBlock_10259,10,0.2935,0.2872,0.630,0.2817,0.2835,-0.180
?,tencentBlock_10264,10,0.4289,0.4288,0.010,0.4464,0.4461,0.030
?,tencentBlock_10266,10,0.1545,0.1509,0.360,0.1424,0.1425,-0.010
?,tencentBlock_10268,10,0.2141,0.2063,0.780,0.1798,0.1872,-0.740
?,tencentBlock_10274,10,0.1830,0.1838,-0.080,0.1979,0.1979,0.000
?,tencentBlock_10276,10,0.2456,0.2460,-0.040,0.2553,0.2553,0.000
?,tencentBlock_10280,10,0.2483,0.2473,0.100,0.2227,0.2220,0.070
?,tencentBlock_10286,10,0.2012,0.2016,-0.040,0.2109,0.2108,0.010
?,tencentBlock_10292,10,0.1775,0.1752,0.230,0.1665,0.1665,0.000
?,tencentBlock_10293,10,0.4847,0.4923,-0.760,0.4855,0.4853,0.020
?,tencentBlock_10295,10,0.3291,0.3269,0.220,0.3148,0.3147,0.010
?,tencentBlock_10303,10,0.4862,0.4844,0.180,0.4805,0.4805,0.000
?,tencentBlock_10312,10,0.4998,0.4981,0.170,0.4887,0.4887,0.000
?,tencentBlock_10320,10,0.1896,0.1868,0.280,0.1840,0.1840,0.000
?,tencentBlock_10327,10,0.2193,0.2109,0.840,0.1997,0.1997,0.000
?,tencentBlock_10336,10,0.2901,0.2897,0.040,0.2915,0.2915,0.000
?,tencentBlock_10339,10,0.1130,0.1122,0.080,0.1066,0.1066,0.000
?,tencentBlock_10342,10,0.1546,0.1549,-0.030,0.1510,0.1510,0.005
?,tencentBlock_10356,10,0.3725,0.3710,0.150,0.3635,0.3635,0.000
?,tencentBlock_10359,10,0.0906,0.0893,0.130,0.0876,0.0876,0.000
?,tencentBlock_10364,10,0.0583,0.0561,0.220,0.0539,0.0538,0.010
?,tencentBlock_10365,10,0.1172,0.1160,0.120,0.1048,0.1048,0.000
?,tencentBlock_10368,10,0.2179,0.2181,-0.020,0.2288,0.2287,0.010
?,tencentBlock_10370,10,0.0233,0.0228,0.050,0.0204,0.0204,0.000
?,tencentBlock_10372,10,0.2205,0.2198,0.070,0.2359,0.2358,0.010
?,tencentBlock_10375,10,0.4253,0.3737,5.160,0.3303,0.3785,-4.820
?,tencentBlock_10380,10,0.5006,0.5005,0.010,0.5073,0.5074,-0.010
?,tencentBlock_10387,10,0.4210,0.4121,0.890,0.3947,0.3947,0.000
?,tencentBlock_10393,10,0.2891,0.2868,0.230,0.2893,0.2893,0.000
?,tencentBlock_10394,10,0.3512,0.3412,1.000,0.2461,0.2905,-4.440
?,tencentBlock_10399,10,0.1652,0.1624,0.280,0.1588,0.1596,-0.080
?,tencentBlock_10403,10,0.2001,0.1987,0.140,0.2016,0.2016,0.000
?,tencentBlock_10409,10,0.1604,0.1593,0.110,0.1530,0.1531,-0.010
?,tencentBlock_10415,10,0.2312,0.2254,0.580,0.2198,0.2199,-0.010
?,tencentBlock_10424,10,0.1341,0.1312,0.290,0.1222,0.1223,-0.010
?,tencentBlock_10429,10,0.1205,0.1198,0.070,0.1129,0.1127,0.020
?,tencentBlock_10436,10,0.5385,0.5348,0.370,0.5205,0.5204,0.010
?,tencentBlock_10443,10,0.2913,0.2739,1.740,0.2640,0.2688,-0.480
?,tencentBlock_10446,10,0.7002,0.6981,0.210,0.6904,0.6909,-0.050
?,tencentBlock_10452,10,0.2461,0.2466,-0.050,0.2443,0.2440,0.030
?,tencentBlock_10455,10,0.1336,0.1303,0.330,0.1241,0.1235,0.060
?,tencentBlock_10463,10,0.2031,0.1996,0.350,0.1892,0.1892,0.000
?,tencentBlock_10467,10,0.1617,0.1576,0.410,0.1506,0.1469,0.370
?,tencentBlock_10483,10,0.1063,0.1049,0.140,0.1030,0.1030,0.000
?,tencentBlock_10492,10,0.2972,0.2819,1.530,0.2686,0.2731,-0.445
?,tencentBlock_10496,10,0.2774,0.2752,0.220,0.2711,0.2711,0.000
?,tencentBlock_10499,10,0.6443,0.6402,0.410,0.5668,0.5678,-0.100
?,tencentBlock_10505,10,0.1381,0.1365,0.160,0.1306,0.1301,0.055
?,tencentBlock_10521,10,0.4211,0.3985,2.260,,,
?,tencentBlock_10525,10,0.2081,0.2076,0.050,0.2035,0.2035,0.000
?,tencentBlock_10532,10,0.3875,0.3861,0.140,0.3749,0.3749,0.000
?,tencentBlock_10534,10,0.1183,0.1134,0.490,0.1101,0.1112,-0.110
?,tencentBlock_10539,10,0.1659,0.1649,0.100,,0.1595,
?,tencentBlock_10545,10,0.3980,0.3976,0.040,0.3935,0.3935,0.000
?,tencentBlock_10553,10,0.2869,0.2714,1.550,0.2458,0.2469,-0.110
?,tencentBlock_10560,10,0.5124,0.5106,0.180,0.5060,0.5060,0.000
?,tencentBlock_10568,10,0.1519,0.1103,4.160,0.0854,0.0958,-1.040
?,tencentBlock_10575,10,0.2632,0.2577,0.550,,0.2547,
?,tencentBlock_1058,10,0.2539,0.2314,2.250,0.2044,0.2209,-1.650
?,tencentBlock_10580,10,0.2043,0.1967,0.760,0.1929,0.1926,0.030
?,tencentBlock_10582,10,0.2577,0.2579,-0.020,0.2757,0.2757,0.000
?,tencentBlock_10587,10,0.2266,0.2247,0.190,0.2157,0.2156,0.010
?,tencentBlock_10592,10,0.1956,0.1954,0.020,0.1916,0.1916,0.000
?,tencentBlock_10596,10,0.2985,0.2985,0.000,0.2978,0.2979,-0.010
?,tencentBlock_10602,10,0.3605,0.3600,0.050,0.3515,0.3520,-0.050
?,tencentBlock_10611,10,0.3305,0.3286,0.190,0.3180,0.3185,-0.050
?,tencentBlock_10620,10,0.3116,0.3003,1.130,0.2679,0.2678,0.010
?,tencentBlock_10628,10,0.2385,0.2388,-0.030,0.2520,0.2520,0.000
?,tencentBlock_10633,10,0.1698,0.1692,0.060,0.1694,0.1696,-0.015
?,tencentBlock_10642,10,0.1116,0.1100,0.160,0.1057,0.1057,0.000
?,tencentBlock_10650,10,0.1220,0.1194,0.260,0.1156,0.1161,-0.050
?,tencentBlock_10656,10,0.1636,0.1592,0.440,0.1517,0.1521,-0.040
?,tencentBlock_10664,10,0.3402,0.3375,0.270,0.3076,0.3075,0.010
?,tencentBlock_10668,10,0.6277,0.6191,0.860,0.6100,0.6099,0.010
?,tencentBlock_10675,10,0.2367,0.2376,-0.090,0.2560,0.2560,0.000
?,tencentBlock_10676,10,0.0334,0.0334,0.000,0.0348,0.0348,0.000
?,tencentBlock_10684,10,0.1880,0.1883,-0.030,0.1982,0.1981,0.010
?,tencentBlock_10689,10,0.3574,0.3570,0.040,0.3294,0.3294,0.000
?,tencentBlock_10698,10,0.1477,0.1488,-0.110,0.1416,0.1416,0.000
?,tencentBlock_10699,10,0.4223,0.3893,3.300,0.3214,0.3230,-0.160
?,tencentBlock_10703,10,0.0915,0.0914,0.010,0.0829,0.0829,0.000
?,tencentBlock_10710,10,0.2399,0.2367,0.320,0.2289,0.2289,0.000
?,tencentBlock_10716,10,0.4046,0.4046,0.000,0.4044,0.4044,0.000
?,tencentBlock_10724,10,0.4252,0.4236,0.160,0.4191,0.4192,-0.005
?,tencentBlock_10728,10,0.0636,0.0638,-0.020,0.0591,0.0591,0.000
?,tencentBlock_1073,10,0.2467,0.2469,-0.020,0.2563,0.2562,0.010
?,tencentBlock_10730,10,0.2455,0.2413,0.420,0.2320,0.2321,-0.010
?,tencentBlock_10734,10,0.0918,0.0897,0.210,0.0872,0.0872,0.000
?,tencentBlock_10742,10,0.2302,0.2218,0.840,0.2201,,
?,tencentBlock_10747,10,0.3112,0.3033,0.790,0.2244,0.2233,0.110
?,tencentBlock_10752,10,0.2891,0.2781,1.100,0.2452,0.2451,0.010
?,tencentBlock_10755,10,0.2583,0.2560,0.230,0.2508,0.2514,-0.060
?,tencentBlock_10757,10,0.1416,0.1413,0.030,0.1355,0.1355,0.000
?,tencentBlock_10760,10,0.3963,0.3957,0.060,0.3766,0.3766,0.000
?,tencentBlock_10763,10,0.1026,0.0921,1.050,0.0839,0.0846,-0.070
?,tencentBlock_10767,10,0.3864,0.3863,0.010,0.3860,0.3860,0.000
?,tencentBlock_10769,10,0.5014,0.4984,0.300,0.4850,0.4850,0.000
?,tencentBlock_10776,10,0.2006,0.2007,-0.010,0.2053,0.2053,0.000
?,tencentBlock_10783,10,0.2536,0.2541,-0.050,0.2605,0.2605,0.000
?,tencentBlock_10790,10,0.3874,0.3871,0.030,0.3840,0.3841,-0.005
?,tencentBlock_10791,10,0.1220,0.1191,0.290,0.1144,0.1142,0.020
?,tencentBlock_10807,10,0.2307,0.2263,0.440,0.2198,0.2193,0.050
?,tencentBlock_10814,10,0.2290,0.2285,0.050,0.2205,0.2204,0.010
?,tencentBlock_1082,10,0.3049,0.3040,0.090,0.3004,0.3004,0.000
?,tencentBlock_10820,10,0.5340,0.5267,0.730,0.5123,0.5121,0.020
?,tencentBlock_10825,10,0.2310,0.2291,0.190,0.2008,0.2006,0.020
?,tencentBlock_10827,10,0.2324,0.2311,0.130,0.2219,0.2220,-0.010
?,tencentBlock_10829,10,0.4107,0.3918,1.890,0.3316,0.3316,0.000
?,tencentBlock_10831,10,0.1144,0.1135,0.090,0.1063,0.1063,0.000
?,tencentBlock_1084,10,0.4751,0.4638,1.130,0.3898,0.3899,-0.010
?,tencentBlock_10844,10,0.4155,0.4149,0.060,0.4105,0.4105,-0.005
?,tencentBlock_10851,10,0.2595,0.2596,-0.010,0.2696,0.2695,0.010
?,tencentBlock_10857,10,0.3313,0.2685,6.280,0.2502,0.2588,-0.860
?,tencentBlock_10858,10,0.3333,0.3327,0.060,0.3339,0.3339,0.000
?,tencentBlock_10860,10,0.5996,0.5235,7.610,0.4095,0.4225,-1.300
?,tencentBlock_10866,10,0.2452,0.2478,-0.260,0.2396,0.2398,-0.020
?,tencentBlock_10870,10,0.1740,0.1740,0.000,0.1739,0.1739,0.000
?,tencentBlock_10879,10,0.5223,0.5199,0.240,0.5100,0.5099,0.010
?,tencentBlock_10883,10,0.1611,0.1611,0.000,0.1629,0.1629,0.000
?,tencentBlock_1089,10,0.3881,0.3852,0.290,0.3819,0.3817,0.020
?,tencentBlock_10890,10,0.4486,0.4457,0.290,0.4343,0.4405,-0.615
?,tencentBlock_10893,10,0.3239,0.3237,0.020,0.3312,0.3312,0.000
?,tencentBlock_10897,10,0.3523,0.3468,0.550,0.3274,0.3337,-0.630
?,tencentBlock_10905,10,0.0609,0.0608,0.010,0.0593,0.0593,0.000
?,tencentBlock_10910,10,0.1126,0.1112,0.140,0.1066,0.1066,0.000
?,tencentBlock_10916,10,0.0837,0.0824,0.130,0.0798,0.0797,0.010
?,tencentBlock_10918,10,0.3516,0.3506,0.100,0.3401,0.3403,-0.020
?,tencentBlock_1092,10,0.2792,0.2788,0.040,0.2794,0.2794,0.000
?,tencentBlock_10921,10,0.0767,0.0764,0.030,0.0754,0.0754,0.000
?,tencentBlock_10927,10,0.1096,0.1091,0.050,0.1070,0.1069,0.010
?,tencentBlock_10944,10,0.2670,0.2674,-0.040,0.2709,0.2710,-0.010
?,tencentBlock_10947,10,0.4197,0.4186,0.110,0.4237,0.4237,0.000
?,tencentBlock_10949,10,0.3911,0.3906,0.050,0.3803,0.3802,0.010
?,tencentBlock_10952,10,0.6560,0.6562,-0.020,0.6523,0.6522,0.010
?,tencentBlock_10957,10,0.1290,0.1287,0.030,0.1213,0.1213,0.000
?,tencentBlock_10961,10,0.1646,0.1664,-0.180,0.1822,0.1821,0.010
?,tencentBlock_10964,10,0.0908,0.0904,0.040,0.0818,0.0819,-0.010
?,tencentBlock_10971,10,0.0406,0.0405,0.010,0.0397,0.0397,0.000
?,tencentBlock_10976,10,0.1783,0.1754,0.290,0.1632,0.1628,0.040
?,tencentBlock_10982,10,0.4740,0.4714,0.260,0.4484,0.4481,0.030
?,tencentBlock_10986,10,0.4277,0.4275,0.020,0.4333,0.4333,0.000
?,tencentBlock_1099,10,0.2441,0.2443,-0.020,0.2537,0.2537,0.000
?,tencentBlock_10992,10,0.0203,0.0203,0.000,0.0186,0.0186,0.000
?,tencentBlock_10995,10,0.1887,0.1858,0.290,0.1872,0.1873,-0.010
?,tencentBlock_10996,10,0.3570,0.3544,0.260,0.3518,0.3518,0.000
?,tencentBlock_10999,10,0.4664,0.4656,0.080,0.4684,0.4684,0.000
?,tencentBlock_11006,10,0.4099,0.4111,-0.120,0.4249,0.4247,0.020
?,tencentBlock_11007,10,0.6732,0.6711,0.210,0.6434,0.6434,0.000
?,tencentBlock_11022,10,0.1442,0.1438,0.040,0.1105,0.1105,0.000
?,tencentBlock_11025,10,0.0905,0.0900,0.050,0.0864,0.0864,0.000
?,tencentBlock_11027,10,0.2396,0.1828,5.680,0.1762,0.1981,-2.190
?,tencentBlock_11029,10,0.0784,0.0787,-0.030,0.0721,0.0721,0.000
?,tencentBlock_11032,10,0.2684,0.2665,0.190,0.2531,0.2531,0.000
?,tencentBlock_11037,10,0.2515,0.2505,0.100,0.2429,0.2429,0.000
?,tencentBlock_11038,10,0.2392,0.2366,0.260,0.2291,0.2291,0.000
?,tencentBlock_11046,10,0.1742,0.1748,-0.060,0.1909,0.1909,0.000
?,tencentBlock_11048,10,0.2489,0.2449,0.400,0.2326,0.2326,0.000
?,tencentBlock_11054,10,0.4110,0.3993,1.170,0.3863,0.3853,0.100
?,tencentBlock_11057,10,0.2306,0.2288,0.180,0.2257,0.2256,0.010
?,tencentBlock_11062,10,0.2975,0.2966,0.090,0.2800,0.2800,0.000
?,tencentBlock_11069,10,0.4462,0.4380,0.820,0.4153,0.4153,0.000
?,tencentBlock_11074,10,0.0885,0.0885,0.000,0.0887,0.0887,0.000
?,tencentBlock_11077,10,0.2355,0.2334,0.210,0.2250,0.2250,0.000
?,tencentBlock_1108,10,0.4875,0.4753,1.220,0.4965,0.4948,0.170
?,tencentBlock_11081,10,0.3312,0.3270,0.420,0.3217,0.3217,0.000
?,tencentBlock_11082,10,0.2352,0.2286,0.660,0.2172,0.2175,-0.030
?,tencentBlock_11090,10,0.4408,0.4401,0.070,0.4486,0.4486,0.000
?,tencentBlock_11097,10,0.2390,0.2404,-0.140,0.2359,0.2356,0.030
?,tencentBlock_11102,10,0.4801,0.4806,-0.050,0.4745,0.4742,0.030
?,tencentBlock_11108,10,0.3329,0.3316,0.130,0.3409,0.3408,0.010
?,tencentBlock_11111,10,0.0778,0.0769,0.090,0.0755,,
?,tencentBlock_11120,10,0.2333,0.2328,0.050,0.2278,0.2279,-0.020
?,tencentBlock_11122,10,0.0969,0.0965,0.040,0.0768,0.0768,0.000
?,tencentBlock_11131,10,0.2434,0.2402,0.320,0.2274,0.2274,0.000
?,tencentBlock_11135,10,0.1804,0.1813,-0.090,0.1907,0.1903,0.040
?,tencentBlock_11139,10,0.1226,0.1208,0.180,0.1155,0.1155,0.000
?,tencentBlock_11147,10,0.2484,0.2428,0.560,0.1918,0.1967,-0.490
?,tencentBlock_11159,10,0.2766,0.2769,-0.030,0.2721,0.2720,0.010
?,tencentBlock_11161,10,0.1197,0.1194,0.030,0.1188,0.1188,0.000
?,tencentBlock_11163,10,0.5458,0.5453,0.050,0.5146,0.5146,0.000
?,tencentBlock_11169,10,0.4889,0.4863,0.260,0.4731,0.4726,0.050
?,tencentBlock_1117,10,0.2313,0.2315,-0.020,0.2371,0.2371,0.000
?,tencentBlock_11172,10,0.1238,0.1212,0.260,0.1177,0.1175,0.015
?,tencentBlock_11179,10,0.1666,0.1651,0.150,0.1544,0.1546,-0.020
?,tencentBlock_11185,10,0.2376,0.2367,0.090,0.2240,0.2240,0.000
?,tencentBlock_11192,10,0.1664,0.1644,0.200,0.1557,0.1556,0.010
?,tencentBlock_11200,10,0.2414,0.2410,0.040,0.2277,0.2277,0.000
?,tencentBlock_11207,10,0.3397,0.3410,-0.130,0.3538,0.3534,0.040
?,tencentBlock_11213,10,0.2367,0.2348,0.190,0.2313,0.2313,0.000
?,tencentBlock_11220,10,0.3298,0.3272,0.260,0.3207,0.3205,0.020
?,tencentBlock_11229,10,0.2110,0.2090,0.200,0.2053,0.2053,0.000
?,tencentBlock_11234,10,0.2458,0.2389,0.690,0.2237,0.2291,-0.540
?,tencentBlock_11237,10,0.1247,0.1231,0.160,0.1172,0.1171,0.010
?,tencentBlock_11246,10,0.4284,0.4276,0.080,0.4250,0.4250,0.000
?,tencentBlock_11248,10,0.2280,0.2284,-0.040,0.2406,0.2406,0.000
?,tencentBlock_11249,10,0.1374,0.1375,-0.010,0.1372,0.1372,0.000
?,tencentBlock_1125,10,0.0868,0.0867,0.010,0.0890,0.0889,0.010
?,tencentBlock_11255,10,0.1609,0.1588,0.210,0.1513,0.1514,-0.010
?,tencentBlock_11257,10,0.2533,0.2484,0.490,0.2376,0.2375,0.010
?,tencentBlock_11261,10,0.5897,0.5878,0.190,0.5796,0.5795,0.010
?,tencentBlock_11268,10,0.2174,0.2177,-0.030,0.2119,0.2118,0.010
?,tencentBlock_11275,10,0.3745,0.3707,0.380,0.3634,0.3629,0.050
?,tencentBlock_11284,10,0.2265,0.2252,0.130,0.2178,0.2178,0.000
?,tencentBlock_11287,10,0.2266,0.2276,-0.100,0.2414,0.2413,0.010
?,tencentBlock_11294,10,0.3632,0.3381,2.510,0.3162,0.3214,-0.520
?,tencentBlock_11295,10,0.1540,0.1515,0.250,0.1377,0.1378,-0.010
?,tencentBlock_11301,10,0.6640,0.6055,5.850,0.3006,0.3242,-2.360
?,tencentBlock_11307,10,0.2536,0.2537,-0.010,0.2629,0.2629,0.000
?,tencentBlock_11314,10,0.0760,0.0760,0.000,0.0710,0.0710,0.000
?,tencentBlock_11318,10,0.1915,0.1824,0.910,0.1753,0.1761,-0.080
?,tencentBlock_11321,10,0.1708,0.1549,1.590,0.1483,0.1514,-0.310
?,tencentBlock_11326,10,0.7690,0.7689,0.010,0.7689,0.7689,0.000
?,tencentBlock_11329,10,0.0980,0.0976,0.040,0.0974,0.0973,0.010
?,tencentBlock_11334,10,0.1282,0.1268,0.140,0.1225,0.1222,0.030
?,tencentBlock_11336,10,0.1786,0.1774,0.120,0.1716,0.1716,0.000
?,tencentBlock_1134,10,0.2746,0.2742,0.040,0.2735,0.2735,0.000
?,tencentBlock_11345,10,0.2374,0.2378,-0.040,0.2500,0.2500,0.000
?,tencentBlock_11354,10,0.1981,0.1991,-0.100,0.2202,0.2201,0.010
?,tencentBlock_11362,10,0.0810,0.0803,0.070,0.0781,0.0781,0.000
?,tencentBlock_11368,10,0.1743,0.1749,-0.060,0.1967,0.1967,0.000
?,tencentBlock_11372,10,0.1143,0.1125,0.180,0.1082,0.1082,0.000
?,tencentBlock_11375,10,0.5224,0.5189,0.350,0.5137,,
?,tencentBlock_11383,10,0.1936,0.1939,-0.030,0.1843,0.1844,-0.010
?,tencentBlock_11389,10,0.3170,0.3161,0.090,0.3057,0.3031,0.265
?,tencentBlock_11394,10,0.1136,0.1137,-0.010,0.1077,0.1076,0.010
?,tencentBlock_11401,10,0.5528,0.5312,2.160,0.5042,0.5063,-0.210
?,tencentBlock_11409,10,0.4173,0.4158,0.150,0.4160,0.4160,0.000
?,tencentBlock_11412,10,0.2515,0.2514,0.010,0.2609,0.2608,0.010
?,tencentBlock_11417,10,0.1053,0.1040,0.130,0.1050,0.1047,0.030
?,tencentBlock_11424,10,0.3079,0.3038,0.410,0.2735,0.2744,-0.090
?,tencentBlock_11426,10,0.4944,0.4371,5.730,0.3979,0.3992,-0.130
?,tencentBlock_11429,10,0.5937,0.5932,0.050,0.5784,0.5782,0.020
?,tencentBlock_1143,10,0.3402,0.3400,0.020,0.3368,0.3368,0.000
?,tencentBlock_11436,10,0.2961,0.2939,0.220,0.2942,0.2939,0.025
?,tencentBlock_11439,10,0.5529,0.4216,13.130,0.2930,0.3401,-4.710
?,tencentBlock_11441,10,0.3567,0.3443,1.240,0.3162,0.3247,-0.850
?,tencentBlock_11450,10,0.2019,0.1976,0.430,0.1812,0.1802,0.105
?,tencentBlock_11458,10,0.2300,0.2028,2.720,0.1880,0.1935,-0.550
?,tencentBlock_11467,10,0.1995,0.1990,0.050,0.1950,0.1950,0.000
?,tencentBlock_11469,10,0.6751,0.6750,0.010,0.6705,0.6699,0.060
?,tencentBlock_11477,10,0.2789,0.2788,0.010,0.2827,0.2827,0.000
?,tencentBlock_11480,10,0.3097,0.3164,-0.670,0.3116,0.3057,0.590
?,tencentBlock_11484,10,0.2495,0.2469,0.260,0.2339,0.2338,0.010
?,tencentBlock_11487,10,0.2691,0.2688,0.030,0.2673,0.2673,0.000
?,tencentBlock_11488,10,0.2513,0.2510,0.030,0.2525,0.2524,0.010
?,tencentBlock_11494,10,0.2582,0.2591,-0.090,0.2762,0.2761,0.010
?,tencentBlock_11500,10,0.2946,0.2866,0.800,0.2505,0.2519,-0.140
?,tencentBlock_11501,10,0.1188,0.1109,0.790,0.1034,0.1029,0.050
?,tencentBlock_11502,10,0.3724,0.3415,3.090,0.2371,0.2460,-0.890
?,tencentBlock_11507,10,0.2156,0.2133,0.230,0.1927,0.1927,0.000
?,tencentBlock_11514,10,0.2249,0.2242,0.070,0.2230,0.2226,0.040
?,tencentBlock_11518,10,0.1870,0.1748,1.220,0.1684,0.1684,0.000
?,tencentBlock_11524,10,0.1501,0.1496,0.050,0.1426,0.1426,0.000
?,tencentBlock_11529,10,0.1077,0.1068,0.090,0.1012,0.1010,0.020
?,tencentBlock_11537,10,0.2700,0.2695,0.050,0.2791,0.2791,0.000
?,tencentBlock_11541,10,0.1970,0.1923,0.470,0.1849,0.1850,-0.010
?,tencentBlock_11556,10,0.2526,0.2533,-0.070,0.2674,0.2675,-0.010
?,tencentBlock_11561,10,0.2238,0.2202,0.360,0.2076,0.2045,0.310
?,tencentBlock_11576,10,0.1072,0.1068,0.040,0.0994,0.0994,0.000
?,tencentBlock_11577,10,0.0699,0.0697,0.020,0.0665,0.0665,0.000
?,tencentBlock_11579,10,0.0901,0.0894,0.070,0.0880,0.0879,0.010
?,tencentBlock_11587,10,0.0873,0.0853,0.200,0.0769,0.0770,-0.010
?,tencentBlock_11589,10,0.1403,0.1394,0.090,0.1338,0.1338,0.000
?,tencentBlock_11590,10,0.2269,0.2252,0.170,0.2042,0.2041,0.010
?,tencentBlock_11598,10,0.4156,0.4187,-0.310,0.4366,0.4361,0.050
?,tencentBlock_1160,10,0.1873,0.1862,0.110,0.1808,0.1808,0.000
?,tencentBlock_11605,10,0.1415,0.1422,-0.070,0.1617,0.1616,0.010
?,tencentBlock_11609,10,0.0393,0.0391,0.020,0.0373,0.0373,0.000
?,tencentBlock_1161,10,0.1346,0.1336,0.100,0.1267,0.1266,0.010
?,tencentBlock_11619,10,0.4628,0.4611,0.170,0.4573,0.4573,0.000
?,tencentBlock_11627,10,0.1952,0.1929,0.230,0.1867,0.1867,0.000
?,tencentBlock_11641,10,0.1993,0.1876,1.170,0.1628,0.1817,-1.890
?,tencentBlock_11644,10,0.5643,0.5394,2.490,0.3300,0.3649,-3.495
?,tencentBlock_11663,10,0.5359,0.5338,0.210,0.5290,0.5286,0.040
?,tencentBlock_11665,10,0.1562,0.1564,-0.020,0.1665,0.1665,0.000
?,tencentBlock_11673,10,0.2599,0.2488,1.110,0.2142,0.2139,0.030
?,tencentBlock_11680,10,0.2454,0.2409,0.450,0.2123,0.2123,0.000
?,tencentBlock_11686,10,0.2788,0.2794,-0.060,0.2878,0.2878,0.000
?,tencentBlock_11687,10,0.2526,0.2489,0.370,0.2355,0.2345,0.100
?,tencentBlock_11694,10,0.1266,0.1172,0.940,0.1115,0.1114,0.010
?,tencentBlock_1170,10,0.0871,0.0861,0.100,0.0809,0.0809,0.000
?,tencentBlock_11703,10,0.0786,0.0787,-0.010,0.0776,0.0776,0.000
?,tencentBlock_11710,10,0.2395,0.2332,0.630,0.1960,0.1967,-0.070
?,tencentBlock_11713,10,,,,,,
?,tencentBlock_11714,10,0.4326,0.4122,2.040,0.3479,0.3561,-0.820
?,tencentBlock_11715,10,0.1221,0.1206,0.150,0.1166,0.1165,0.010
?,tencentBlock_11716,10,0.2243,0.2214,0.290,0.1731,0.1748,-0.170
?,tencentBlock_11717,10,0.1586,0.1557,0.290,0.1424,0.1435,-0.110
