dataset,trace,cache_pct,lru,lruforgive,lru_gap_pp,s3fifo,s3fifoforgive,s3_gap_pp
?,tencentBlock_2044,10,0.1047,0.1044,0.030,0.1007,0.1007,0.000
?,tencentBlock_20443,10,0.4145,0.4106,0.390,,0.4010,
?,tencentBlock_20451,10,0.3620,0.3614,0.060,0.3550,0.3550,0.000
?,tencentBlock_20456,10,0.1888,0.1882,0.060,0.1941,0.1942,-0.010
?,tencentBlock_20462,10,0.4661,0.4651,0.100,0.4455,0.4432,0.230
?,tencentBlock_20464,10,0.4942,0.4914,0.280,0.4672,0.4670,0.020
?,tencentBlock_20465,10,0.3984,0.3978,0.060,0.3663,0.3664,-0.010
?,tencentBlock_20473,10,0.6832,0.6829,0.030,0.6804,0.6804,0.000
?,tencentBlock_20481,10,0.4553,0.4513,0.400,0.4420,0.4420,0.000
?,tencentBlock_20489,10,0.2719,0.2713,0.060,0.2714,0.2714,0.000
?,tencentBlock_20496,10,0.3817,0.3801,0.160,0.3626,0.3625,0.010
?,tencentBlock_20498,10,0.5486,0.5452,0.340,0.5315,0.5315,0.000
?,tencentBlock_20505,10,0.4626,0.4618,0.080,0.4556,0.4556,0.000
?,tencentBlock_20509,10,0.4572,0.4531,0.410,0.4342,0.4342,0.000
?,tencentBlock_20515,10,0.3689,0.3710,-0.210,0.3611,0.3630,-0.190
?,tencentBlock_20519,10,0.3815,0.3752,0.630,0.3749,0.3748,0.010
?,tencentBlock_2052,10,0.2616,0.2622,-0.060,0.2815,0.2815,0.000
?,tencentBlock_20526,10,0.5084,0.5084,0.000,0.5047,0.5047,0.000
?,tencentBlock_20529,10,0.2891,0.2842,0.490,0.2601,0.2600,0.005
?,tencentBlock_20532,10,0.1788,0.1756,0.320,0.1563,0.1574,-0.110
?,tencentBlock_20539,10,0.2651,0.2649,0.020,0.2763,0.2764,-0.010
?,tencentBlock_20540,10,0.2887,,,,,
?,tencentBlock_2055,10,0.1608,0.1598,0.100,0.1513,0.1516,-0.030
?,tencentBlock_20569,10,0.2422,0.2385,0.370,0.2326,0.2323,0.030
?,tencentBlock_20584,10,0.1291,0.1232,0.590,0.1185,0.1186,-0.010
?,tencentBlock_20597,10,0.2187,0.2156,0.310,0.2069,0.2069,0.000
?,tencentBlock_20619,10,0.0514,0.0513,0.010,0.0511,0.0511,0.000
?,tencentBlock_20635,10,0.2866,0.2809,0.570,0.2774,0.2809,-0.350
?,tencentBlock_20660,10,0.3844,0.3897,-0.530,0.3415,0.3416,-0.010
?,tencentBlock_20693,10,,,,,,
?,tencentBlock_20747,10,0.2092,0.2092,0.000,0.2092,0.2092,0.000
?,tencentBlock_20768,10,0.3250,0.3234,0.160,0.3124,0.3124,0.000
?,tencentBlock_20815,10,0.3174,0.3169,0.050,0.3160,0.3159,0.010
?,tencentBlock_20832,10,0.0218,0.0218,0.000,0.0218,0.0218,0.000
?,tencentBlock_20840,10,0.3054,0.3038,0.160,0.3009,0.3017,-0.080
?,tencentBlock_20889,10,0.6685,0.6678,0.070,0.6532,0.6532,0.000
?,tencentBlock_20964,10,0.2312,0.2306,0.060,0.2271,0.2271,0.000
?,tencentBlock_20985,10,0.2113,0.2093,0.200,0.2027,0.2026,0.010
?,tencentBlock_20991,10,0.1962,0.1941,0.210,0.1913,0.1916,-0.030
?,tencentBlock_20996,10,0.0196,0.0196,0.000,0.0196,0.0196,0.000
?,tencentBlock_21009,10,0.3624,0.3623,0.010,0.3511,0.3511,0.000
?,tencentBlock_21019,10,0.2868,0.2855,0.130,0.2750,0.2753,-0.030
?,tencentBlock_21042,10,0.0163,0.0162,0.010,0.0150,0.0150,0.000
?,tencentBlock_21047,10,0.1494,0.1469,0.250,0.1391,0.1391,0.000
?,tencentBlock_21103,10,0.0910,0.0903,0.070,0.0774,0.0774,0.000
?,tencentBlock_21111,10,0.5548,0.5548,0.000,0.5543,0.5543,0.000
?,tencentBlock_21118,10,0.1260,0.1218,0.420,0.1133,0.1138,-0.050
?,tencentBlock_21129,10,0.1975,0.1953,0.220,0.1928,0.1931,-0.030
?,tencentBlock_21138,10,0.2027,0.2021,0.060,0.1982,0.1983,-0.010
?,tencentBlock_21159,10,0.3758,0.3758,0.000,0.3756,0.3756,0.000
?,tencentBlock_21190,10,0.3619,0.3618,0.010,0.3594,0.3592,0.020
?,tencentBlock_21193,10,0.8319,0.8345,-0.260,,0.8387,
?,tencentBlock_21194,10,0.4027,0.4026,0.010,0.4025,0.4025,0.000
